Name in documentation	Category	Qty	Full Name	Notes
2.5mm Ball-end Allen key	tool	None		
300x300mm Breadboard	mech	1	Breadboard	
M3 x 25mm HEX screw	mech	None	M3 HEX screw	
M6 x 16mm inner screw	mech	6	M6 x 16 inner screw	
Nut	mech	None		
